Unnamed: 0,article,date,label
0,Bitcoin Price Breaks $1228 All-Time High Again With ETF Nearing,1488434400,1
1,Bitcoin's “creator” races to patent technology with gambling tycoon,1488434400,1
2,Opinion: Should you invest in a bitcoin ETF?,1488434400,-1
3,Development Completed on MGT Bitcoin Mining Pool,1488434400,1
4,"Bitcoin Can't Kill the Indian Rupee, Says RBI Dy Guv",1488434400,-1
5,Crypto exchange Kraken acquires trading platform as bitcoin soars,1488434400,1
6,"Bitcoin Price Pushed by OKCoin Getting Ready for Relaunch, China ...",1488434400,1
7,"What Blockchain Means (Hint: Not Just Bitcoin), and Why You ...",1488434400,-1
8,The $45-Dollar Question: What's Going On With the Price of Dash?,1488348000,-1
9,What Are Bitcoin And Gold Saying About Paper Money,1488348000,-1
10,1 Bitcoin Is Now Worth More Than An Ounce Of Gold,1488434400,1
11,Bitcoin is now worth more than an ounce of gold for the first time ever,1488348000,1
12,Winklevoss Twins Await Imminent SEC Decision on Bitcoin ETF,1488348000,0
13,One bitcoin is now worth more than one ounce of gold,1488348000,1
14,"For the first time, the price of bitcoin is the same as the price of gold",1488348000,1
15,"Bitcoin Scaling Problem, Explained",1488348000,0
16,Bitcoin Exchange Kraken Acquires Charting and Trading Platform ...,1488348000,1
17,BTCC chief expects bitcoin's price to reach $11K in 2020,1488434400,1
18,How Blockchain Is Changing Finance,1488348000,1
19,Canadian Investors: Is Gold or Bitcoin the Better Choice?,1488348000,-1
20,"Bitcoin price rises higher than gold, but don't read too much into it",1488520800,0
22,"India Central Bank: Confidence in Bitcoin, Blockchain Can Only ...",1488520800,1
23,This bitcoin rival nearly doubled in value in one week,1488434400,0
25,"In Case You Missed it, The Blockchain Revolution's Officially Begun",1488520800,1
26,Bitcoin's SegWit Activation is Only A Matter of Time,1488434400,1
27,Bodog Founder Calvin Ayre and Bitcoin Creator Craig Wright ...,1488434400,-1
28,Should I Be Tempted to Invest in Bitcoin?,1488520800,1
29,"Kraken Acquires Bitcoin Data Firm, CEO Explains Growth & Vision",1488520800,-1
30,Bitcoin value tops gold for first time,1488434400,1
31,Bitcoin Soars to a Record High,1488434400,1
34,Winklevoss twins await SEC decision on bitcoin ETF,1488520800,-1
36,Bitcoin Gains Usage in Nigeria Despite CBN Warning,1488434400,1
38,Ethereum Turns To The Dark Side - The Banks' Bloodless Crypto ...,1488520800,-1
39,The Latest Twist to the Block Size Debate Is Called a “UASF”,1488434400,-1
42,Bitcoin Is Better Than Gold,1488520800,1
43,Ether Prices Surge Past $20 to Approach All-Time Highs,1488520800,-1
45,Why You Won't See Bitcoin in a Casino Anytime Soon,1488607200,0
46,Bitcoin Transactions Per Block Hit New Record,1488520800,1
47,Bitfinex Adds Market Trading For Dash (Again),1488520800,-1
48,Something Odd Is Happening at Bitcoin's Largest Mining Pool,1488607200,0
49,Breakthrough in Bitcoin Space: Breeze Wallet to Redefine ...,1488607200,-1
51,"Bitcoin is now worth more than an ounce of gold, still chasing cocaine",1488520800,-1
52,Bitcoin Just Became More Valuable Than Gold,1488520800,1
53,"For the first time, bitcoin is more valuable than gold",1488607200,1
54,The rise of Bitcoin: Why bytes are worth more than gold – for now,1488607200,0
56,"Bitcoin is Better than Gold, Somewhat",1488520800,-1
58,New Spam Attacks Aim To Slow Down Bitcoin Network,1488520800,0
59,Bitfinex Re-lists DASH Because of 'Increased Demand from ...,1488520800,-1
60,Stratis Announces Breeze Wallet To Improve Bitcoin and Financial ...,1488520800,1
61,To The Moon? Analysts Optimistic Towards Bitcoin ETF Approval ...,1488693600,-1
64,Average Bitcoin Transaction Fee Has Exceeded $1,1488693600,1
65,Top 5 Safe Bitcoin Wallets,1488607200,-1
66,Bitcoin regulation: How India compares to the rest of the world in the ...,1488607200,-1
68,Bitcoin Security Made Easy: using 2-factor authentication,1488607200,-1
69,"Enterprise Ethereum Alliance, Good or Bad News?",1488693600,-1
70,Bitcoin BLAGGERS on the rise as criminals target India's digital wallets,1488693600,0
71,Bitcoin hits all-time high as talk of US ETF approval intensifies,1488693600,1
72,Las Vegas Strip Club Awaits Bitcoin ETF Approval,1488693600,1
73,Bitcoin Price Rises Above Gold As Investors Get Excited About EFT ...,1488693600,1
74,Gold is passe: This Diwali gift a Bitcoin,1488607200,-1
76,Winklevoss Bitcoin ETF Decision Due This Week: Bitcoin To $2000?,1488693600,1
77,Founder of World's Largest Bitcoin Mining Equipment Firm Criticizes ...,1488693600,-1
79,Bitcoin Price Target For 2017,1488780000,-1
80,US investment firm plans launch of first ever ethereum classic ...,1488780000,-1
81,"Unlike Gold, Bitcoin is Once in a Generation Investment Opportunity ...",1488693600,1
82,Federal Reserve Warns On Digital Currency,1488693600,-1
83,A London startup building a contactless bitcoin card has raised £2.5 ...,1488780000,-1
84,"Bitcoin Price Will Triple Gold in 2018, Silver Achieves Parity With ...",1488780000,1
87,What You Need to Know About Bitcoin's Upcoming Code Release,1488780000,-1
